direction,entry_time,entry_price,sl,tp,exit_time,exit_price,pnl,result
SELL,2025-12-04 15:30:00,4191.58,4201.371489362393,4186.357872340057,2025-12-04 16:00:00,4201.371489362393,-9.791489362392895,LOSS
BUY,2025-12-04 17:00:00,4202.43,4189.892492246162,4209.116670802047,2025-12-04 17:30:00,4209.116670802047,6.686670802047047,WIN
BUY,2025-12-05 11:15:00,4221.02,4213.820101108163,4224.859946075648,2025-12-05 11:45:00,4224.859946075648,3.8399460756472763,WIN
BUY,2025-12-05 13:30:00,4222.83,4216.6053848717875,4226.149794735046,2025-12-05 14:00:00,4226.149794735046,3.3197947350463437,WIN
BUY,2025-12-05 14:45:00,4228.57,4222.156113961445,4231.990739220562,2025-12-05 15:00:00,4222.156113961445,-6.413886038554665,LOSS
BUY,2025-12-05 15:15:00,4232.75,4225.047031936145,4236.858249634056,2025-12-05 15:30:00,4236.858249634056,4.108249634055937,WIN
BUY,2025-12-05 16:45:00,4241.81,4232.456861425813,4246.7983405729,2025-12-05 17:15:00,4246.7983405729,4.988340572899688,WIN
SELL,2025-12-08 01:30:00,4200.93,4211.168635463755,4195.469394419331,2025-12-08 02:45:00,4211.168635463755,-10.23863546375469,LOSS
SELL,2025-12-08 03:00:00,4205.75,4215.625843374568,4200.482883533564,2025-12-08 03:45:00,4200.482883533564,5.267116466436164,WIN
SELL,2025-12-08 04:00:00,4200.2,4209.93848650617,4195.006140530042,2025-12-08 04:45:00,4209.93848650617,-9.738486506170375,LOSS
SELL,2025-12-08 07:15:00,4206.29,4213.673719232148,4202.352016409521,2025-12-08 07:30:00,4213.673719232148,-7.383719232147996,LOSS
BUY,2025-12-08 10:00:00,4211.38,4203.466368518781,4215.600603456651,2025-12-08 10:15:00,4215.600603456651,4.220603456650679,WIN
SELL,2025-12-08 11:00:00,4208.95,4217.127456755911,4204.58868973018,2025-12-08 12:30:00,4204.58868973018,4.361310269820024,WIN
SELL,2025-12-08 13:45:00,4208.55,4216.575302167441,4204.269838844031,2025-12-08 15:15:00,4204.269838844031,4.280161155968926,WIN
SELL,2025-12-08 15:30:00,4202.63,4210.71061157965,4198.320340490854,2025-12-08 15:45:00,4198.320340490854,4.309659509146513,WIN
SELL,2025-12-08 16:30:00,4198.08,4207.73054774902,4192.933041200522,2025-12-08 16:45:00,4207.73054774902,-9.650547749020006,LOSS
SELL,2025-12-08 17:00:00,4178.27,4190.193814130534,4171.910632463716,2025-12-08 17:15:00,4190.193814130534,-11.923814130533174,LOSS
SELL,2025-12-08 18:45:00,4191.31,4203.90757853021,4184.591291450555,2025-12-08 20:45:00,4184.591291450555,6.718708549445182,WIN
SELL,2025-12-08 22:15:00,4189.04,4198.203933053385,4184.152569038195,2025-12-09 05:30:00,4198.203933053385,-9.163933053385335,LOSS
SELL,2025-12-09 09:15:00,4178.4,4185.957229981618,4174.369477343136,2025-12-09 10:00:00,4185.957229981618,-7.557229981618548,LOSS
BUY,2025-12-09 14:30:00,4201.88,4194.868488409517,4205.619472848258,2025-12-09 14:45:00,4205.619472848258,3.7394728482577193,WIN
BUY,2025-12-09 15:30:00,4200.63,4192.771359784054,4204.821274781838,2025-12-09 16:00:00,4192.771359784054,-7.858640215946252,LOSS
BUY,2025-12-09 16:30:00,4205.64,4196.329994059568,4210.605336501564,2025-12-09 17:00:00,4196.329994059568,-9.310005940432347,LOSS
BUY,2025-12-09 17:15:00,4206.04,4194.893778042591,4211.984651710618,2025-12-09 17:45:00,4211.984651710618,5.944651710618018,WIN
BUY,2025-12-09 18:00:00,4218.16,4205.832525641244,4224.734652991337,2025-12-09 19:15:00,4205.832525641244,-12.327474358756263,LOSS
SELL,2025-12-10 14:15:00,4197.61,4203.749550989618,4194.335572805537,2025-12-10 15:00:00,4194.335572805537,3.2744271944629872,WIN
SELL,2025-12-10 15:15:00,4197.78,4204.241728077221,4194.333745025482,2025-12-10 15:45:00,4204.241728077221,-6.461728077220869,LOSS
SELL,2025-12-10 16:15:00,4196.52,4204.353125276279,4192.342333185986,2025-12-10 16:30:00,4192.342333185986,4.1776668140146285,WIN
SELL,2025-12-10 16:45:00,4192.33,4200.981648835158,4187.715787287915,2025-12-10 17:00:00,4200.981648835158,-8.651648835158085,LOSS
SELL,2025-12-10 17:15:00,4196.43,4205.663283944601,4191.505581896214,2025-12-10 17:45:00,4191.505581896214,4.924418103786593,WIN
SELL,2025-12-10 21:15:00,4198.66,4210.177162879962,4192.517513130687,2025-12-10 21:30:00,4210.177162879962,-11.517162879962598,LOSS
BUY,2025-12-10 22:00:00,4234.98,4217.04681966207,4244.544362846895,2025-12-11 02:15:00,4244.544362846895,9.564362846895165,WIN
SELL,2025-12-11 10:00:00,4215.06,4223.52613267055,4210.544729242373,2025-12-11 11:00:00,4210.544729242373,4.51527075762715,WIN
SELL,2025-12-11 11:15:00,4213.98,4222.26287500678,4209.56246666305,2025-12-11 12:00:00,4222.26287500678,-8.28287500678016,LOSS
SELL,2025-12-11 12:30:00,4215.09,4223.3857426498125,4210.665603920101,2025-12-11 13:45:00,4210.665603920101,4.424396079899452,WIN
SELL,2025-12-11 15:00:00,4211.72,4219.995648117155,4207.306321004185,2025-12-11 15:15:00,4207.306321004185,4.413678995815644,WIN
BUY,2025-12-11 15:45:00,4220.73,4211.596702291038,4225.601092111446,2025-12-11 16:00:00,4225.601092111446,4.87109211144616,WIN
BUY,2025-12-11 22:15:00,4268.43,4256.431095145421,4274.829415922442,2025-12-11 22:45:00,4274.829415922442,6.399415922442131,WIN
BUY,2025-12-12 01:45:00,4276.18,4266.135438715413,4281.53709935178,2025-12-12 03:00:00,4266.135438715413,-10.044561284586962,LOSS
BUY,2025-12-12 04:00:00,4275.29,4265.243843357804,4280.6479502091715,2025-12-12 08:15:00,4280.6479502091715,5.357950209171577,WIN
SELL,2025-12-12 20:15:00,4295.33,4317.039688786404,4283.7514993139175,2025-12-15 03:30:00,4317.039688786404,-21.709688786404513,LOSS
BUY,2025-12-15 09:45:00,4338.95,4330.856803621476,4343.266371401879,2025-12-15 10:00:00,4343.266371401879,4.316371401879223,WIN
BUY,2025-12-15 12:15:00,4342.64,4334.926522784999,4346.753854514667,2025-12-15 14:30:00,4346.753854514667,4.113854514666855,WIN
SELL,2025-12-15 21:15:00,4309.12,4321.088456326364,4302.736823292606,2025-12-15 22:15:00,4302.736823292606,6.383176707394341,WIN
SELL,2025-12-15 22:30:00,4305.66,4316.887002262422,4299.672265460042,2025-12-16 03:00:00,4299.672265460042,5.987734539958183,WIN
SELL,2025-12-16 04:45:00,4289.54,4300.856076473836,4283.5047592139545,2025-12-16 05:00:00,4283.5047592139545,6.035240786045506,WIN
SELL,2025-12-16 08:45:00,4289.07,4299.078942441233,4283.731897364675,2025-12-16 09:15:00,4283.731897364675,5.338102635324503,WIN
SELL,2025-12-16 10:15:00,4278.9,4288.9568451915,4273.5363492312,2025-12-16 14:15:00,4288.9568451915,-10.056845191500543,LOSS
BUY,2025-12-16 20:30:00,4308.68,4295.753113727322,4315.574339345429,2025-12-16 21:45:00,4315.574339345429,6.894339345428307,WIN
BUY,2025-12-17 05:00:00,4315.28,4306.228175751045,4320.107639599442,2025-12-17 05:30:00,4320.107639599442,4.827639599442591,WIN
BUY,2025-12-17 11:15:00,4322.11,4312.599510015838,4327.182261324886,2025-12-17 12:30:00,4312.599510015838,-9.510489984161723,LOSS
BUY,2025-12-17 14:15:00,4321.1,4312.806240832799,4325.523338222508,2025-12-17 15:00:00,4325.523338222508,4.423338222507482,WIN
BUY,2025-12-17 15:15:00,4327.91,4318.80192808792,4332.767638353109,2025-12-17 15:30:00,4332.767638353109,4.857638353108996,WIN
BUY,2025-12-17 16:30:00,4338.1,4326.041478914196,4344.531211245763,2025-12-17 17:00:00,4344.531211245763,6.4312112457628245,WIN
BUY,2025-12-17 17:45:00,4330.13,4315.838221686813,4337.752281767033,2025-12-17 19:15:00,4337.752281767033,7.622281767033201,WIN
BUY,2025-12-17 19:30:00,4338.61,4324.907867655881,4345.917803916863,2025-12-17 20:00:00,4345.917803916863,7.307803916863122,WIN
BUY,2025-12-17 20:45:00,4335.93,4322.973881001137,4342.839930132727,2025-12-17 22:45:00,4342.839930132727,6.909930132726913,WIN
SELL,2025-12-18 13:15:00,4325.71,4332.022942671388,4322.343097241926,2025-12-18 14:00:00,4322.343097241926,3.366902758073593,WIN
SELL,2025-12-18 16:30:00,4314.05,4325.62518342484,4307.876568840085,2025-12-18 16:45:00,4325.62518342484,-11.575183424839452,LOSS
BUY,2025-12-18 20:00:00,4339.25,4320.478480879019,4349.2614768645235,2025-12-19 03:00:00,4320.478480879019,-18.771519120980884,LOSS
SELL,2025-12-19 04:15:00,4324.39,4334.6740355917145,4318.9051810177525,2025-12-19 04:30:00,4318.9051810177525,5.484818982247816,WIN
SELL,2025-12-19 07:00:00,4318.59,4327.160602527118,4314.019011985537,2025-12-19 07:45:00,4327.160602527118,-8.570602527117444,LOSS
